"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72446003947","2025-01-01","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  31.9","24","  22.0","24","1025.9","24","987.4","24"," 10.0","24","  7.4","24"," 13.0"," 15.0","  39.9"," ","  24.1"," "," 0.00","I","999.9","000000"
"72446003947","2025-01-02","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  34.9","24","  25.1","24","1024.0","24","986.1","24"," 10.0","24","  6.6","24"," 14.0"," 15.9","  44.1"," ","  25.0"," "," 0.00","G","999.9","000000"
"72446003947","2025-01-03","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  27.5","24","  21.4","24","1031.2","19","992.8","24","  9.7","24","  7.4","24"," 17.1"," 20.0","  44.1"," ","  19.0"," "," 0.00","G","999.9","000000"
"72446003947","2025-01-04","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  25.3","24","  16.5","24","1029.8","21","990.3","24","  9.0","24","  9.3","24"," 15.9"," 22.0","  33.1"," ","  19.9"," "," 0.00","G","999.9","000000"
"72446003947","2025-01-05","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  19.4","24","  16.5","24","1020.1","11","981.1","24","  2.4","24"," 16.7","24"," 24.1"," 33.0","  24.1","*","  12.2","*"," 0.11","G","  7.1","011000"
"72446003947","2025-01-06","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  12.2","24","   3.7","24","1028.0","22","988.4","24","  8.6","24"," 10.0","24"," 19.0"," 27.0","  21.9"," ","   5.0"," "," 0.31","G","  5.9","001000"
"72446003947","2025-01-07","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","   8.8","24","   2.1","24","1034.2","24","994.8","24"," 10.0","24","  5.2","24","  8.0","999.9","  21.9"," ","  -2.9"," "," 0.00","G","  5.9","000000"
"72446003947","2025-01-08","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  13.4","24","   6.4","24","1034.5","24","994.8","24"," 10.0","24","  6.5","24","  8.9","999.9","  21.9"," ","  -2.9"," "," 0.00","G","  5.9","000000"
"72446003947","2025-01-09","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  19.5","24","  12.9","24","1022.7","24","983.8","24","  9.7","24","  8.8","24"," 11.1"," 17.1","  35.1"," ","   5.0"," "," 0.00","G","  5.9","000000"
"72446003947","2025-01-10","39.29747","-94.73087","307.4","KANSAS CITY INTERNATIONAL AIRPORT, MO US","  29.6","24","  25.5","24","1016.9","16","979.8","24","  6.2","24","  6.4","24"," 13.0","999.9","  35.1"," ","  12.0"," "," 0.11","G","  7.9","001000"
