"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72278023183","2025-01-01","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  58.0","24","  28.6","24","1017.7","24","979.0","18","  8.5","24","  2.8","24","  7.0","999.9","  73.0"," ","  45.0"," "," 0.00","I","999.9","000000"
"72278023183","2025-01-02","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  59.8","24","  24.0","24","1019.2","24","980.0","24","  9.8","24","  3.4","24","  6.0","999.9","  77.0"," ","  45.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-03","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  63.2","24","  21.8","24","1016.9","24","977.8","24"," 10.0","24","  4.2","24","  6.0","999.9","  81.0"," ","  46.9"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-04","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  60.4","24","  22.4","24","1013.6","24","974.6","24"," 10.0","24","  5.0","24","  9.9","999.9","  81.0"," ","  46.9"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-05","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  57.1","24","  21.1","24","1017.1","24","977.8","24"," 10.0","24","  2.8","24","  8.9","999.9","  73.0"," ","  45.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-06","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  56.3","24","  17.9","24","1017.9","24","978.6","24"," 10.0","24","  3.2","24","  8.0","999.9","  72.0"," ","  45.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-07","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  57.2","24","  15.8","24","1011.7","24","972.6","24"," 10.0","24","  5.5","24"," 15.0"," 21.0","  72.0"," ","  45.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-08","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  62.5","24","  18.6","24","1013.4","24","974.5","24","  9.7","24"," 14.7","24"," 21.0"," 35.0","  69.1"," ","  46.9"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-09","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  52.7","24","  27.3","24","1015.9","24","976.5","24","  9.9","24","  6.6","24"," 19.0"," 33.0","  68.0"," ","  43.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-10","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  53.9","24","  19.2","24","1023.0","24","983.4","24"," 10.0","24","  4.9","24"," 19.0"," 27.0","  64.9"," ","  41.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-11","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  51.6","24","  14.8","24","1018.0","24","978.4","24"," 10.0","24","  3.7","24","  8.0","999.9","  64.9"," ","  39.9"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-12","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  51.2","24","  15.4","24","1013.3","24","973.9","24"," 10.0","24","  2.8","24","  6.0","999.9","  64.9"," ","  37.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-13","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  50.2","24","  13.3","24","1018.6","24","979.0","24"," 10.0","24","  4.1","24","  7.0","999.9","  64.9"," ","  37.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-14","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  50.5","24","  15.3","24","1023.4","24","983.6","24"," 10.0","24","  3.2","24","  7.0","999.9","  66.0"," ","  37.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-15","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  55.0","24","  16.4","24","1022.8","24","983.1","24","  9.9","24","  5.7","24"," 15.0"," 22.9","  72.0"," ","  37.0"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-16","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  64.6","24","  22.9","24","1019.3","24","980.2","24"," 10.0","24","  8.6","24"," 14.0"," 17.1","  75.0","*","  55.0","*"," 0.00","G","999.9","000000"
"72278023183","2025-01-17","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  60.2","24","  27.3","24","1016.6","24","977.5","24"," 10.0","24","  4.2","24","  8.0","999.9","  75.9"," ","  48.9"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-18","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  54.3","24","  24.9","24","1019.1","24","979.6","24"," 10.0","24","  3.6","24","  8.9","999.9","  68.0"," ","  42.1"," "," 0.00","G","999.9","000000"
"72278023183","2025-01-19","33.4278","-112.00365","339.2","PHOENIX AIRPORT, AZ US","  54.3","24","  21.1","24","1020.5","24","981.0","24"," 10.0","24","  3.5","24","  6.0","999.9","  66.9"," ","  42.1"," "," 0.00","G","999.9","000000"
