"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"72793024233","2025-01-01","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  40.7","24","  34.8","24","1018.0","23","000.9","17","  9.7","24","  4.8","24","  8.0","999.9","  45.0"," ","  35.1"," "," 0.03","G","999.9","010000"
"72793024233","2025-01-02","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  41.5","24","  35.6","24","1018.2","24","001.5","24","  9.4","24","  4.4","24","  9.9"," 14.0","  45.0"," ","  37.0"," "," 0.01","G","999.9","010000"
"72793024233","2025-01-03","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  42.9","24","  37.5","24","1012.1","22","995.2","24","  8.7","24","  7.6","24"," 13.0"," 20.0","  45.0"," ","  37.9"," "," 0.05","G","999.9","010000"
"72793024233","2025-01-04","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  43.2","24","  39.9","24","1013.7","24","997.1","24","  9.7","24","  5.6","24"," 11.1","999.9","  46.9"," ","  37.9"," "," 0.48","G","999.9","010000"
"72793024233","2025-01-05","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  46.3","24","  44.4","24","1019.8","22","003.4","24","  8.9","24","  7.5","24"," 13.0"," 20.0","  48.9"," ","  37.9"," "," 0.24","G","999.9","010000"
"72793024233","2025-01-06","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  44.8","24","  42.8","24","1030.4","13","012.6","24","  6.8","24","  7.1","24"," 12.0","999.9","  48.9"," ","  42.1"," "," 0.00","G","999.9","100000"
"72793024233","2025-01-07","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  40.6","24","  37.9","24","1033.7","22","017.0","24","  8.4","24","  3.3","24","  7.0","999.9","  46.0"," ","  37.9"," "," 0.00","G","999.9","000000"
"72793024233","2025-01-08","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  43.8","24","  39.2","24","1031.8","24","014.9","24","  9.9","24","  4.4","24","  8.0","999.9","  50.0"," ","  37.9"," "," 0.05","G","999.9","010000"
"72793024233","2025-01-09","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  44.5","24","  41.3","24","1032.5","17","016.0","24","  7.3","24","  5.1","24","  8.0","999.9","  52.0"," ","  37.9"," "," 0.04","G","999.9","000000"
"72793024233","2025-01-10","47.44467","-122.31442","112.5","SEATTLE TACOMA AIRPORT, WA US","  45.3","24","  41.1","24","1024.0","21","007.1","24","  9.5","24","  5.7","24"," 13.0"," 17.1","  52.0"," ","  37.9"," "," 0.00","G","999.9","010000"
