CITY,DATE,DEWP,DEWP_ATTRIBUTES,ELEVATION,FRSHTT,GUST,LATITUDE,LONGITUDE,MAX,MAX_ATTRIBUTES,MIN,MIN_ATTRIBUTES,MXSPD,NAME,PRCP,PRCP_ATTRIBUTES,SLP,SLP_ATTRIBUTES,SNDP,STATION,STP,STP_ATTRIBUTES,TEMP,TEMP_ATTRIBUTES,VISIB,VISIB_ATTRIBUTES,WDSP,WDSP_ATTRIBUTES
Cinci,2025-01-01,30.9,24.0,144.8,011000,22.9,39.106,-84.41609,42.1,,33.8,,17.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.15,,1017.0,20.0,,72429793812,1.2,19.0,37.8,24.0,9.6,24.0,9.2,24.0
Cinci,2025-01-02,23.6,24.0,144.8,000000,21.0,39.106,-84.41609,42.1,,30.9,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1025.6,23.0,,72429793812,7.2,24.0,35.5,24.0,10.0,24.0,8.0,24.0
Cinci,2025-01-03,23.1,24.0,144.8,011000,27.0,39.106,-84.41609,42.1,,28.0,,15.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.04,,1023.4,23.0,,72429793812,4.8,24.0,32.4,24.0,9.4,24.0,7.9,24.0
Cinci,2025-01-04,10.8,24.0,144.8,000000,20.0,39.106,-84.41609,37.0,,18.0,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1028.0,24.0,,72429793812,9.2,24.0,24.6,24.0,10.0,24.0,9.2,24.0
Cinci,2025-01-05,16.2,24.0,144.8,101000,,39.106,-84.41609,30.9,,18.0,,8.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1026.6,16.0,,72429793812,6.5,24.0,24.6,24.0,6.5,24.0,2.6,24.0
Cinci,2025-01-06,21.3,24.0,144.8,111000,25.1,39.106,-84.41609,28.9,,23.0,,18.1,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.41,,1014.9,11.0,,72429793812,995.1,24.0,25.2,24.0,2.4,24.0,10.7,24.0
Cinci,2025-01-07,15.8,24.0,144.8,000000,19.0,39.106,-84.41609,28.9,,10.9,,12.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.14,,1029.1,20.0,,72429793812,9.8,24.0,24.5,24.0,9.8,24.0,5.5,24.0
Cinci,2025-01-08,16.1,24.0,144.8,001000,,39.106,-84.41609,28.9,,10.9,,8.9,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1028.7,22.0,,72429793812,10.0,24.0,25.0,24.0,8.6,24.0,6.1,24.0
Cinci,2025-01-09,6.7,24.0,144.8,000000,,39.106,-84.41609,28.9,,-0.9,,7.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1027.5,23.0,,72429793812,8.6,24.0,15.5,24.0,7.6,24.0,2.1,24.0
Cinci,2025-01-10,12.6,24.0,144.8,101000,,39.106,-84.41609,28.9,,-0.9,,7.0,"CINCINNATI MUNICIPAL AIRPORT LUNKEN FIELD, OH US",0.0,,1021.9,22.0,,72429793812,2.2,24.0,17.9,24.0,5.2,24.0,1.1,24.0
